country_code,year,medal_count,country_name,gdp,athlete_count,ratio
ERI,2004,1,Eritrea,1109054005.43971,5,0.2
ESP,1960,14,Spain,12072126075.397,250,0.056
ESP,1972,1,Spain,58971806626.9739,169,0.005917159763313609
ESP,1976,6,Spain,118185307386.222,171,0.03508771929824561
ESP,1980,24,Spain,232134606637.271,226,0.10619469026548672
ESP,1984,19,Spain,171635463361.623,282,0.0673758865248227
ESP,1988,5,Spain,375138723325.239,346,0.014450867052023121
ESP,1992,69,Spain,629202392003.901,582,0.11855670103092783
ESP,1996,66,Spain,640998292394.588,384,0.171875
ESP,2000,42,Spain,595402616546.895,431,0.09744779582366589
ESP,2004,30,Spain,1069555500372.49,423,0.07092198581560284
ESP,2008,70,Spain,1635015380108.39,355,0.19718309859154928
ESP,2012,63,Spain,1336018949805.58,339,0.18584070796460178
ESP,2016,45,Spain,1237255019653.86,363,0.12396694214876033
EST,2000,3,Estonia,5685774808.80862,41,0.07317073170731707
EST,2004,3,Estonia,12059201242.236,45,0.06666666666666667
EST,2008,3,Estonia,24194039255.8957,53,0.05660377358490566
EST,2012,2,Estonia,23043864510.0543,36,0.05555555555555555
EST,2016,4,Estonia,23337907618.5174,49,0.08163265306122448
ETH,1992,3,Ethiopia,10492993077.6093,24,0.125
ETH,1996,3,Ethiopia,8547939730.62374,19,0.15789473684210525
ETH,2000,8,Ethiopia,8242392103.68061,27,0.2962962962962963
ETH,2004,7,Ethiopia,10131187261.4421,27,0.25925925925925924
ETH,2008,7,Ethiopia,27066912635.2228,29,0.2413793103448276
ETH,2012,7,Ethiopia,43310721414.0829,34,0.20588235294117646
ETH,2016,8,Ethiopia,72374224249.3997,38,0.21052631578947367
FIN,1960,6,Finland,5224102195.52771,293,0.020477815699658702
FIN,1964,5,Finland,7766655085.78588,238,0.02100840336134454
FIN,1968,4,Finland,8823033880.32993,221,0.01809954751131222
FIN,1972,10,Finland,14754136507.0261,216,0.046296296296296294
FIN,1976,6,Finland,31873171718.726,187,0.03208556149732621
FIN,1980,9,Finland,53685049410.2646,210,0.04285714285714286
FIN,1984,12,Finland,52926394934.7052,187,0.06417112299465241
FIN,1988,4,Finland,109103056147.832,193,0.02072538860103627
FIN,1992,7,Finland,112625431377.754,244,0.028688524590163935
FIN,1996,4,Finland,132099404607.818,105,0.0380952380952381
FIN,2000,5,Finland,125539893126.958,88,0.056818181818181816
FIN,2004,2,Finland,196768065557.487,67,0.029850746268656716
FIN,2008,5,Finland,283742493042.332,70,0.07142857142857142
FIN,2012,5,Finland,256706466091.089,69,0.07246376811594203
FIN,2016,1,Finland,238502900311.9,67,0.014925373134328358
FRA,1960,12,France,62651474946.6007,418,0.028708133971291867
FRA,1964,31,France,94906593388.3107,264,0.11742424242424243
FRA,1968,27,France,129847107787.883,429,0.06293706293706294
