country_code,year,death_rate
LCA,2016,38.87219808112542
LCA,2017,39.21108794192493
VCT,1990,83.83936118733602
VCT,1991,80.86758806983732
VCT,1992,77.69368880896967
VCT,1993,77.33361282515209
VCT,1994,75.46137776964562
VCT,1995,74.47216689891502
VCT,1996,75.854717046994807
VCT,1997,75.97058972785169
VCT,1998,74.60672399531155
VCT,1999,70.81110856540857
VCT,2000,67.4873912344094
VCT,2001,64.38932367977912
VCT,2002,61.94066139239629
VCT,2003,59.602074390354495
VCT,2004,58.52465700917637
VCT,2005,56.09916107530477
VCT,2006,54.32227207947793
VCT,2007,52.4696924335881
VCT,2008,51.10517192700759
VCT,2009,50.76915504490509
VCT,2010,50.567380762259326
VCT,2011,51.638440323008346
VCT,2012,51.55963046828502
VCT,2013,51.408852896623905
VCT,2014,50.43707927489768
VCT,2015,50.36007841550021
VCT,2016,48.96374407654073
VCT,2017,48.67290215956563
WSM,1990,88.87861287621764
WSM,1991,88.60893510874332
WSM,1992,88.79379316607417
WSM,1993,88.75401205696198
WSM,1994,88.8734226973647
WSM,1995,88.73038672789035
WSM,1996,89.83264262424532
WSM,1997,89.27071276152812
WSM,1998,88.51504641559814
WSM,1999,88.26006668635897
WSM,2000,87.18068194861335
WSM,2001,86.80236773577776
WSM,2002,86.11539870586856
WSM,2003,85.29464659405657
WSM,2004,84.70493966186251
WSM,2005,83.58003331656369
WSM,2006,84.07219892602384
WSM,2007,85.16705703711555
WSM,2008,84.73508284192991
WSM,2009,86.35230342409803
WSM,2010,85.59650711516018
WSM,2011,85.88760651241381
WSM,2012,84.78279634812198
WSM,2013,83.80096833093147
WSM,2014,81.87777586533052
WSM,2015,80.41272165838696
WSM,2016,78.03129125541857
WSM,2017,76.83415607894658
STP,1990,145.5893268879802
STP,1991,146.3203810715251
STP,1992,146.46493612954816
STP,1993,148.32440375067756
STP,1994,148.7407409336609
STP,1995,149.72954427668608
STP,1996,151.51393941555347
STP,1997,153.4068398922709
STP,1998,153.89057020797748
STP,1999,151.78663758441016
STP,2000,150.79868672583845
STP,2001,147.96610732716252
STP,2002,145.22416160056414
STP,2003,142.3233392441217
STP,2004,139.76925194035525
STP,2005,135.22300379616988
STP,2006,132.4052110787237
STP,2007,128.09563935011136
STP,2008,125.02164014888743
STP,2009,123.60377391673204
STP,2010,121.74108320413353
STP,2011,120.42136632325311
STP,2012,119.36564571436037
STP,2013,117.81400776449571
STP,2014,114.77148387755557
STP,2015,112.71338023629393
STP,2016,111.8873244976991
STP,2017,110.08124488937102
SAU,1990,75.39268498094667
SAU,1991,74.9158750943448
SAU,1992,73.83413900387117
SAU,1993,72.64604599408293
SAU,1994,71.30301702311137
SAU,1995,69.85621578730198
SAU,1996,69.52362385739937
SAU,1997,69.07852985517913
SAU,1998,68.64779472259153
SAU,1999,68.12731268437271
SAU,2000,67.53111663191945
SAU,2001,66.7486478969073
SAU,2002,68.18509191213354
SAU,2003,68.59326103947058
SAU,2004,68.64248367458205
SAU,2005,69.96911944921574
SAU,2006,71.7145562026853
SAU,2007,73.10387867784416
SAU,2008,74.5271907388662
SAU,2009,75.33837951963261
SAU,2010,75.5177637866161
SAU,2011,75.57235273539011
SAU,2012,74.45753889750945
SAU,2013,72.13114497715706
SAU,2014,67.8640199052199
SAU,2015,69.34716062341386
SAU,2016,65.16091330384386
SAU,2017,64.07581882776527
,1990,44.09866194814853
,1991,42.318371174870464
,1992,40.82452056024202
,1993,40.79240639602535
,1994,37.80082005717339
,1995,36.50759540685125
,1996,36.09929648777506
,1997,34.292797504241086
,1998,33.09397999519524
,1999,32.497104738420354
,2000,29.9695190995041
,2001,29.11542471930622
,2002,28.734047972025888
,2003,27.819600414221505
,2004,26.295669725634156
,2005,25.045915581608785
,2006,24.863527495914404
,2007,24.11623034966978
,2008,23.449510676694086
,2009,21.98237324850589
,2010,21.169013210554628
,2011,21.245188851042823
,2012,19.609748830742088
,2013,18.681218372511033
,2014,17.43517477259224
,2015,17.47829991091806
,2016,16.651897585157094
,2017,16.506797577099082
SEN,1990,147.05202527327756
SEN,1991,143.38503171848745
SEN,1992,140.597848249293
SEN,1993,137.64114307812753
SEN,1994,136.55846106778836
SEN,1995,133.91387521634832
SEN,1996,131.9312127661492
SEN,1997,129.16167429253753
SEN,1998,126.05017265182789
SEN,1999,124.06372848870933
SEN,2000,121.7670098144747
SEN,2001,119.84332980674657
SEN,2002,117.54400478896913
SEN,2003,116.04166811987619
SEN,2004,115.5148418872106
SEN,2005,114.13468742351962
SEN,2006,113.10415448853021
SEN,2007,111.47424043309007
SEN,2008,109.14714257691713
SEN,2009,107.79800232193497
SEN,2010,107.40113740352382
SEN,2011,107.82565413247934
SEN,2012,107.49955509454932
SEN,2013,106.90264049449723
SEN,2014,107.88120713092891
SEN,2015,108.65704997407953
SEN,2016,107.07370269649259
SEN,2017,106.05521182020519
SRB,1990,90.70105079842665
SRB,1991,84.67043648900012
SRB,1992,88.93859084166115
SRB,1993,90.38426133183415
SRB,1994,91.93945557020906
SRB,1995,93.31983127356231
SRB,1996,93.44700387667095
SRB,1997,93.78851350701758
SRB,1998,86.69690706741223
SRB,1999,86.55399459653097
SRB,2000,85.68500731869113
SRB,2001,83.18332908440037
SRB,2002,82.590984125975
SRB,2003,82.281686567448
SRB,2004,80.95907983152566
SRB,2005,81.04960141154393
SRB,2006,79.04235574788368
SRB,2007,76.65752491813453
SRB,2008,76.559956486415075
SRB,2009,76.20927408779468
SRB,2010,73.98502744313575
SRB,2011,74.68472078662589
SRB,2012,72.77353584867892
SRB,2013,69.4860821212622
SRB,2014,68.30638923420565
SRB,2015,68.17432544424858
SRB,2016,63.988774383850966
SRB,2017,62.57853348270601
